ty_code,ty_name_en,ty_name_ch,land_address,land_time,land_lng,land_lat,land_info,land_strong
202404,PRAPIROON,派比安,越南广宁省沿海,2024-07-23 06:10:00,107.63,21.37,台风“派比安”已于7月23日06时10分前后在越南广宁省沿海登陆,强热带风暴
202410,SHANSHAN,珊珊,日本九州鹿儿岛,2024-08-29 07:00:00,130.23,31.77,第10号台风“珊珊”已于8月29日07时在日本九州鹿儿岛登陆,台风
202411,YAGI,摩羯,海南文昌沿海,2024-09-06 16:20:00,110.99,19.83,第11号台风“摩羯”已于9月6日16时20分在海南文昌沿海登陆,超强台风
202411,YAGI,摩羯,广东省徐闻县角尾乡,2024-09-06 22:20:00,109.94,20.23,第11号台风“摩羯”已于9月6日22时20分前后在广东省徐闻县角尾乡再次登陆,超强台风
202411,YAGI,摩羯,越南广宁省南部沿海,2024-09-07 15:30:00,106.84,20.88,第11号台风“摩羯”已于9月7日15时30分前后在越南广宁省南部沿海再次登陆,超强台风
202413,BEBINCA,贝碧嘉,上海浦东临港新城沿海,2024-09-16 07:30:00,121.92,30.86,第13号台风“贝碧嘉”已于9月16日07时30分前后在上海浦东临港新城沿海登陆,强台风
202414,PULASAN,普拉桑,浙江省舟山市岱山县沿海,2024-09-19 18:50:00,122.22,30.3,第14号台风“普拉桑”已于9月19日傍晚6点50分前后在浙江省舟山市岱山县沿海登陆,强热带风暴
202414,PULASAN,普拉桑,上海市奉贤区沿海,2024-09-19 21:45:00,121.75,30.85,第14号台风“普拉桑”已于9月19日夜间9点45分前后在上海市奉贤区沿海二次登陆,热带风暴
202414,PULASAN,普拉桑,韩国全罗南道西部沿海,2024-09-21 15:30:00,126.36,34.98,第14号台风“普拉桑”已于9月21日15时30分前后在韩国全罗南道西部沿海三次登陆,热带风暴
202418,KRATHON,山陀儿,台湾省高雄市林园区沿海,2024-10-03 13:00:00,120.39,22.49,第18号台风“山陀儿”已于10月3日下午1点钟前后在台湾省高雄市林园区沿海登陆,台风
202420,TRAMI,潭美,越南岘港与顺化交界附近沿海,2024-10-27 10:40:00,108.12,16.22,第20号台风“潭美”已于10月27日10时40分在越南岘港与顺化交界附近沿海登陆,热带风暴
202421,KONG-REY,康妮,台湾省台东县成功镇沿海,2024-10-31 14:00:00,121.32,22.99,第21号台风“康妮”已于10月31日14时前后在台湾省台东县成功镇沿海登陆,强台风
202424,MAN-YI,万宜,菲律宾吕宋岛东部奥罗拉省沿海,2024-11-17 15:00:00,121.59,15.94,第24号台风“万宜”已于11月17日15时前后在菲律宾吕宋岛东部奥罗拉省沿海登陆,超强台风
202425,USAGI,天兔,台湾省高雄市沿海,2024-11-16 08:00:00,120.37,22.5,第25号台风“天兔”已于11月16日08时在台湾省高雄市沿海登陆,热带风暴
202501,WUTIP,蝴蝶,海南省东方市,2025-06-13 23:00:00,108.65,19.0,第1号台风“蝴蝶”已于6月13日晚上23时前后在海南省东方市沿海登陆,
202501,WUTIP,蝴蝶,广东省雷州市西部沿海,2025-06-14 12:30:00,109.71,20.82,第1号台风“蝴蝶”已于6月14日12时30分前后在广东省雷州市西部沿海再次登陆,
202504,DANAS,丹娜丝,台湾嘉义县沿海,2025-07-07 00:00:00,120.12,23.36,第4号台风“丹娜丝”已于7月7日凌晨0点钟前后在台湾嘉省义县沿海登陆,
202504,DANAS,丹娜丝,浙江省温州市洞头区沿海,2025-07-08 21:25:00,121.14,27.8,第4号台风“丹娜丝”已于7月8日晚上9点25分前后在浙江省温州市洞头区沿海登陆,
